,title,description,published date,url,publisher
0,California phases out new gas cars — so what's next for electric cars? - The Santa Rosa Press Democrat,California phases out new gas cars — so what's next for electric cars?  The Santa Rosa Press DemocratCalifornia's electric vehicle transition: Is the era of gas-powered cars over?  The Washington PostDirector of Washington car dealership industry raises concerns over electric vehicle plans  KING5.comYoungkin vows to untie Virginia from California’s 'out of touch' electric vehicle shift  Washington ExaminerView Full Coverage on Google News,"Mon, 29 Aug 2022 20:08:13 GMT",https://www.pressdemocrat.com/article/news/california-phases-out-new-gas-cars-so-whats-next-for-electric-cars/,"{'href': 'https://www.pressdemocrat.com', 'title': 'The Santa Rosa Press Democrat'}"
1,"Honda, LG to build $4.4 billion electric vehicle battery plant in U.S. - CBS News","Honda, LG to build $4.4 billion electric vehicle battery plant in U.S.  CBS NewsHonda, LG announce $4.4 billion US battery factory for EVs  CNNThis $4.4 billion investment will bring electric vehicle battery production to the US  ZDNetBiden's Climate Bill Is Accelerating the Pace of Electric Vehicle Makers Relocating to North America  ObserverOhio may be home to $4 billion electric vehicle battery plant from Honda and LG  ideastreamView Full Coverage on Google News","Mon, 29 Aug 2022 11:56:13 GMT",https://www.cbsnews.com/news/honda-lg-4-4-billion-electric-vehicle-battery-plant-us/,"{'href': 'https://www.cbsnews.com', 'title': 'CBS News'}"
2,"Current round of rebates for Illinois electric vehicle purchases to end Sept. 30, new round starts Nov. 1 - CBS Chicago","Current round of rebates for Illinois electric vehicle purchases to end Sept. 30, new round starts Nov. 1  CBS Chicago","Mon, 29 Aug 2022 20:33:00 GMT",https://www.cbsnews.com/chicago/news/current-round-of-rebates-for-illinois-electric-vehicle-purchases-to-end-sept-30-new-round-starts-nov-1/,"{'href': 'https://www.cbsnews.com', 'title': 'CBS Chicago'}"
3,Electric vehicle charging time could fall to 10 minutes within 5 years - The Washington Post,Electric vehicle charging time could fall to 10 minutes within 5 years  The Washington Post,"Sat, 27 Aug 2022 13:00:00 GMT",https://www.washingtonpost.com/technology/2022/08/27/electric-vehicle-charge-time/,"{'href': 'https://www.washingtonpost.com', 'title': 'The Washington Post'}"
4,This new incentive helps pay for your next electric vehicle. Here’s the catch - PBS NewsHour,This new incentive helps pay for your next electric vehicle. Here’s the catch  PBS NewsHour,"Fri, 26 Aug 2022 18:59:39 GMT",https://www.pbs.org/newshour/nation/everything-you-need-to-know-about-the-new-electric-vehicle-tax-credit,"{'href': 'https://www.pbs.org', 'title': 'PBS NewsHour'}"
5,Affordability not as big a roadblock to electric cars as you think - Austin American-Statesman,Affordability not as big a roadblock to electric cars as you think  Austin American-Statesman,"Sun, 28 Aug 2022 18:03:21 GMT",https://www.statesman.com/story/news/technology/2022/08/28/affordability-not-as-big-a-roadblock-to-electric-cars-as-you-think/7609202001/,"{'href': 'https://www.statesman.com', 'title': 'Austin American-Statesman'}"
6,Electric vehicles: 5 recent studies to inform your coverage - Journalist's Resource,Electric vehicles: 5 recent studies to inform your coverage  Journalist's Resource,"Mon, 29 Aug 2022 16:35:49 GMT",https://journalistsresource.org/environment/electric-vehicles-research-roundup/,"{'href': 'https://journalistsresource.org', 'title': ""Journalist's Resource""}"
7,Electric Vehicles = 10% of New Vehicle Sales Globally! - CleanTechnica,Electric Vehicles = 10% of New Vehicle Sales Globally!  CleanTechnica,"Sun, 28 Aug 2022 15:56:49 GMT",https://cleantechnica.com/2022/08/28/electric-vehicles-10-of-new-vehicle-sales-globally/,"{'href': 'https://cleantechnica.com', 'title': 'CleanTechnica'}"
8,Cash is king for EV makers as soaring battery prices drive up vehicle production costs - CNBC,Cash is king for EV makers as soaring battery prices drive up vehicle production costs  CNBC,"Sun, 28 Aug 2022 11:00:01 GMT",https://www.cnbc.com/2022/08/28/ev-makers-face-cash-squeeze-amid-soaring-battery-production-costs.html,"{'href': 'https://www.cnbc.com', 'title': 'CNBC'}"
9,How far is New Mexico from statewide electric vehicle chargers? - KRQE News 13,How far is New Mexico from statewide electric vehicle chargers?  KRQE News 13,"Mon, 29 Aug 2022 18:52:11 GMT",https://www.krqe.com/news/new-mexico/how-far-is-new-mexico-from-statewide-electric-vehicle-chargers/,"{'href': 'https://www.krqe.com', 'title': 'KRQE News 13'}"
10,Electric vehicles 2022: The best (and worst) US states for EV charging - USA TODAY,Electric vehicles 2022: The best (and worst) US states for EV charging  USA TODAY,"Mon, 22 Aug 2022 22:43:27 GMT",https://www.usatoday.com/story/tech/2022/08/22/best-states-electric-vehicle-ev-charging-stations/7864079001/,"{'href': 'https://www.usatoday.com', 'title': 'USA TODAY'}"
