('1', '-', 'The Shawshank Redemption', '(1994) -', 'Starring:', 'Frank Darabont (dir.), Tim Robbins, Morgan Freeman', '9.24009008349662')
('2', '-', 'The Godfather', '(1972) -', 'Starring:', 'Francis Ford Coppola (dir.), Marlon Brando, Al Pacino', '9.161213053077592')
('3', '-', 'The Dark Knight', '(2008) -', 'Starring:', 'Christopher Nolan (dir.), Christian Bale, Heath Ledger', '8.994498194370307')
('4', '-', 'The Godfather: Part II', '(1974) -', 'Starring:', 'Francis Ford Coppola (dir.), Al Pacino, Robert De Niro', '8.990310711623376')
('5', '-', '12 Angry Men', '(1957) -', 'Starring:', 'Sidney Lumet (dir.), Henry Fonda, Lee J. Cobb', '8.950937900738364')
('6', '-', "Schindler's List", '(1993) -', 'Starring:', 'Steven Spielberg (dir.), Liam Neeson, Ralph Fiennes', '8.940263206390144')
('7', '-', 'The Lord of the Rings: The Return of the King', '(2003) -', 'Starring:', 'Peter Jackson (dir.), Elijah Wood, Viggo Mortensen', '8.927859413250957')
('8', '-', 'Pulp Fiction', '(1994) -', 'Starring:', 'Quentin Tarantino (dir.), John Travolta, Uma Thurman', '8.858486639978183')
('9', '-', 'The Lord of the Rings: The Fellowship of the Ring', '(2001) -', 'Starring:', 'Peter Jackson (dir.), Elijah Wood, Ian McKellen', '8.811790997713747')
('1', '-', ' Il buono, il brutto, il cattivo', '(1966) -', 'Starring:', 'Sergio Leone (dir.), Clint Eastwood, Eli Wallach', '8.80196525255665')
('11', '-', 'Forrest Gump', '(1994) -', 'Starring:', 'Robert Zemeckis (dir.), Tom Hanks, Robin Wright', '8.776316927976891')
('12', '-', 'Fight Club', '(1999) -', 'Starring:', 'David Fincher (dir.), Brad Pitt, Edward Norton', '8.759728426844381')
('13', '-', 'Inception', '(2010) -', 'Starring:', 'Christopher Nolan (dir.), Leonardo DiCaprio, Joseph Gordon-Levitt', '8.743782528515021')
('14', '-', 'The Lord of the Rings: The Two Towers', '(2002) -', 'Starring:', 'Peter Jackson (dir.), Elijah Wood, Ian McKellen', '8.735881582470538')
('15', '-', 'The Empire Strikes Back', '(1980) -', 'Starring:', 'Irvin Kershner (dir.), Mark Hamill, Harrison Ford', '8.709523997318234')
('16', '-', 'The Matrix', '(1999) -', 'Starring:', 'Lana Wachowski (dir.), Keanu Reeves, Laurence Fishburne', '8.680472201993942')
('17', '-', 'Goodfellas', '(1990) -', 'Starring:', 'Martin Scorsese (dir.), Robert De Niro, Ray Liotta', '8.658794399271338')
('18', '-', "One Flew Over the Cuckoo's Nest", '(1975) -', 'Starring:', 'Milos Forman (dir.), Jack Nicholson, Louise Fletcher', '8.64925455779421')
('19', '-', 'Se7en', '(1995) -', 'Starring:', 'David Fincher (dir.), Morgan Freeman, Brad Pitt', '8.611983290206645')
('20', '-', 'Shichinin no samurai', '(1954) -', 'Starring:', 'Akira Kurosawa (dir.), Toshirô Mifune, Takashi Shimura', '8.604261208545193')
('21', '-', "It's a Wonderful Life", '(1946) -', 'Starring:', 'Frank Capra (dir.), James Stewart, Donna Reed', '8.60377717595677')
('22', '-', 'The Silence of the Lambs', '(1991) -', 'Starring:', 'Jonathan Demme (dir.), Jodie Foster, Anthony Hopkins', '8.596243706280594')
('23', '-', 'Saving Private Ryan', '(1998) -', 'Starring:', 'Steven Spielberg (dir.), Tom Hanks, Matt Damon', '8.585610327919204')
('24', '-', 'Cidade de Deus', '(2002) -', 'Starring:', 'Fernando Meirelles (dir.), Alexandre Rodrigues, Leandro Firmino', '8.584837092991426')
